City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Am Timan,TD,2021-10-09 18:39:43,11.0297,20.2827,82.99,48,100,3.27
121,Prado,BR,2021-10-09 18:39:43,-17.3411,-39.2208,74.84,71,100,9.73
122,Loralai,PK,2021-10-09 18:39:44,30.3705,68.598,70.5,14,0,4.99
123,Coihaique,CL,2021-10-09 18:36:40,-45.5752,-72.0662,62.55,45,40,9.22
124,Port-Gentil,GA,2021-10-09 18:39:45,-0.7193,8.7815,78.76,89,75,12.66
125,Oistins,BB,2021-10-09 18:39:45,13.0667,-59.5333,86.09,74,40,12.66
126,Vila Velha,BR,2021-10-09 18:39:46,-20.3297,-40.2925,71.55,73,75,6.91
127,Linhares,BR,2021-10-09 18:39:47,-19.3911,-40.0722,71.15,73,100,5.1
128,Seminole,US,2021-10-09 18:36:28,28.7086,-81.2081,88.56,68,1,1.01
129,Shar,KZ,2021-10-09 18:39:47,49.5886,81.0453,39.96,53,14,8.16
130,Tessalit,ML,2021-10-09 18:39:48,20.1986,1.0114,90.9,9,100,8.59
131,Hanstholm,DK,2021-10-09 18:39:48,57.1167,8.6167,51.51,85,98,5.95
132,Blantyre,MW,2021-10-09 18:39:49,-15.785,35.0085,76.98,22,0,4.56
133,Torbay,CA,2021-10-09 18:37:29,47.6666,-52.7314,46.27,82,90,32.21
134,Salinopolis,BR,2021-10-09 18:39:50,-0.6136,-47.3561,84.36,69,98,14.07
135,Caravelas,BR,2021-10-09 18:39:50,-17.7125,-39.2481,74.25,73,100,8.66
136,Toma,BF,2021-10-09 18:39:51,12.7667,-2.8833,90.18,25,31,4.23
137,Salalah,OM,2021-10-09 18:39:51,17.0151,54.0924,80.69,89,20,5.75
138,Turayf,SA,2021-10-09 18:39:52,31.6725,38.6637,79.05,22,0,9.22
139,Vavoua,CI,2021-10-09 18:39:52,7.3819,-6.4778,74.21,93,15,3.56
